value,ewma,ewma_lcl,ewma_ucl,individual_lcl,individual_ucl,moving_range,mr_ucl,individual_alarm,ewma_alarm,mr_alarm,wafer
0.8066968022799585,0.17183832215146624,-0.6730745965934349,0.6993220008321211,-3.4178677914445474,3.444115195683234,0.8492642177453149,4.2146025027619345,False,False,False,221
0.34134890572964594,0.2057404388671022,-0.865638889515252,0.8918862937539382,-3.4178677914445474,3.444115195683234,0.4653478965503126,4.2146025027619345,False,False,False,222
-0.33697508529012055,0.09719733403565764,-0.969266886357753,0.9955142905964393,-3.4178677914445474,3.444115195683234,0.6783239910197665,4.2146025027619345,False,False,False,223
-0.1456385882665785,0.04863014957521042,-1.030201039697159,1.0564484439358452,-3.4178677914445474,3.444115195683234,0.19133649702354205,4.2146025027619345,False,False,False,224
-0.8058186539015963,-0.12225961112015095,-1.0673970408391866,1.0936444450778728,-3.4178677914445474,3.444115195683234,0.6601800656350179,4.2146025027619345,False,False,False,225
-1.2012924198716348,-0.3380661728704477,-1.0905447960145163,1.1167922002532025,-3.4178677914445474,3.444115195683234,0.39547376597003847,4.2146025027619345,False,False,False,226
-0.7873294751911857,-0.42791883333459535,-1.1051079212803274,1.1313553255190136,-3.4178677914445474,3.444115195683234,0.41396294468044914,4.2146025027619345,False,False,False,227
-0.6935736386746498,-0.4810497944026063,-1.114329605934605,1.1405770101732913,-3.4178677914445474,3.444115195683234,0.09375583651653585,4.2146025027619345,False,False,False,228
-0.6566305686929468,-0.5161659492606744,-1.120192105912583,1.1464395101512692,-3.4178677914445474,3.444115195683234,0.03694306998170305,4.2146025027619345,False,False,False,229
0.24562663158309306,-0.3638074330919209,-1.1239282432317688,1.150175647470455,-3.4178677914445474,3.444115195683234,0.9022572002760398,4.2146025027619345,False,False,False,230
1.5996834932974053,0.02889075218594439,-1.1263129420471634,1.1525603462858496,-3.4178677914445474,3.444115195683234,1.3540568617143123,4.2146025027619345,False,False,False,231
-0.3479756103558316,-0.046482520322410806,-1.1278365335772154,1.1540839378159016,-3.4178677914445474,3.444115195683234,1.947659103653237,4.2146025027619345,False,False,False,232
1.5922071527460702,0.28125541429128537,-1.1288105653402112,1.1550579695788974,-3.4178677914445474,3.444115195683234,1.9401827631019017,4.2146025027619345,False,False,False,233
-0.008443073151212843,0.22331571680278575,-1.1294335098938146,1.1556809141325008,-3.4178677914445474,3.444115195683234,1.600650225897283,4.2146025027619345,False,False,False,234
0.5889562645747191,0.2964438263571724,-1.1298320162263897,1.156079420465076,-3.4178677914445474,3.444115195683234,0.5973993377259319,4.2146025027619345,False,False,False,235
-2.242444956626656,-0.21133393023959327,-1.130086987377482,1.1563343916161681,-3.4178677914445474,3.444115195683234,2.831401221201375,4.2146025027619345,False,False,False,236
-0.007157653029025823,-0.1704986747974798,-1.1302501390749473,1.1564975433136335,-3.4178677914445474,3.444115195683234,2.23528730359763,4.2146025027619345,False,False,False,237
-0.1532978008345225,-0.16705850000488834,-1.1303545439447606,1.1566019481834469,-3.4178677914445474,3.444115195683234,0.14614014780549667,4.2146025027619345,False,False,False,238
0.6685328137116926,5.9762738427837636e-05,-1.130421358058999,1.1566687622976852,-3.4178677914445474,3.444115195683234,0.8218306145462151,4.2146025027619345,False,False,False,239
0.777180865719501,0.15548398333464247,-1.1304641170434946,1.1567115212821808,-3.4178677914445474,3.444115195683234,0.10864805200780836,4.2146025027619345,False,False,False,240
-0.1276482346342931,0.09885753974085536,-1.130491481954559,1.1567388861932453,-3.4178677914445474,3.444115195683234,0.904829100353794,4.2146025027619345,False,False,False,241
-0.4763264886139069,-0.016179265930097095,-1.1305089951540068,1.156756399392693,-3.4178677914445474,3.444115195683234,0.34867825397961383,4.2146025027619345,False,False,False,242
0.9516079096583354,0.17737816918758942,-1.130520203460908,1.1567676076995943,-3.4178677914445474,3.444115195683234,1.4279343982722423,4.2146025027619345,False,False,False,243
0.27755662404247516,0.1974138601585666,-1.1305273767196775,1.1567747809583637,-3.4178677914445474,3.444115195683234,0.6740512856158603,4.2146025027619345,False,False,False,244
-1.3447601166860892,-0.11102093521036455,-1.1305319675816778,1.156779371820364,-3.4178677914445474,3.444115195683234,1.6223167407285644,4.2146025027619345,False,False,False,245
0.5082173811835844,0.012826728068425233,-1.1305349057236866,1.1567823099623729,-3.4178677914445474,3.444115195683234,1.8529774978696736,4.2146025027619345,False,False,False,246
-1.8057053641717573,-0.3508796903796113,-1.1305367861306113,1.1567841903692975,-3.4178677914445474,3.444115195683234,2.3139227453553417,4.2146025027619345,False,False,False,247
0.7002550245665446,-0.1406527473903801,-1.13053798958942,1.1567853938281063,-3.4178677914445474,3.444115195683234,2.505960388738302,4.2146025027619345,False,False,False,248
0.6620118882175774,0.01988017973121138,-1.1305387598023935,1.1567861640410797,-3.4178677914445474,3.444115195683234,0.038243136348967255,4.2146025027619345,False,False,False,249
-0.6940437832997617,-0.12290461287498325,-1.130539252738424,1.1567866569771101,-3.4178677914445474,3.444115195683234,1.356055671517339,4.2146025027619345,False,False,False,250
0.28345587783344683,-0.04163251473329724,-1.1305395682173722,1.1567869724560584,-3.4178677914445474,3.444115195683234,0.9774996611332085,4.2146025027619345,False,False,False,251
1.7448305628569756,0.31566010078475737,-1.1305397701238533,1.1567871743625395,-3.4178677914445474,3.444115195683234,1.4613746850235287,4.2146025027619345,False,False,False,252
0.5276021483357596,0.3580485102949578,-1.1305398993439824,1.1567873035826686,-3.4178677914445474,3.444115195683234,1.217228414521216,4.2146025027619345,False,False,False,253
-0.9495498527151938,0.09652883769292753,-1.1305399820448574,1.1567873862835436,-3.4178677914445474,3.444115195683234,1.4771520010509533,4.2146025027619345,False,False,False,254
-0.13690269398635735,0.04984253135707056,-1.1305400349734145,1.1567874392121007,-3.4178677914445474,3.444115195683234,0.8126471587288364,4.2146025027619345,False,False,False,255
0.4713403295109515,0.13414209098784677,-1.1305400688476894,1.1567874730863756,-3.4178677914445474,3.444115195683234,0.6082430234973089,4.2146025027619345,False,False,False,256
0.8239073237515413,0.2720951375405857,-1.130540090527225,1.1567874947659111,-3.4178677914445474,3.444115195683234,0.3525669942405898,4.2146025027619345,False,False,False,257
-0.6164789827514312,0.09438031348218232,-1.1305401044021277,1.156787508640814,-3.4178677914445474,3.444115195683234,1.4403863065029725,4.2146025027619345,False,False,False,258
-0.1290774200016216,0.04968876678542153,-1.1305401132820652,1.1567875175207514,-3.4178677914445474,3.444115195683234,0.4874015627498096,4.2146025027619345,False,False,False,259
-0.1365048745505817,0.01245003851822089,-1.1305401189652249,1.156787523203911,-3.4178677914445474,3.444115195683234,0.0074274545489601,4.2146025027619345,False,False,False,260
-0.3361928557897471,-0.057278540343372715,-1.1305401226024474,1.1567875268411336,-3.4178677914445474,3.444115195683234,0.19968798123916542,4.2146025027619345,False,False,False,261
-1.2218617367561109,-0.29019517962592034,-1.1305401249302698,1.156787529168956,-3.4178677914445474,3.444115195683234,0.8856688809663638,4.2146025027619345,False,False,False,262
-0.17266202575923728,-0.26668854885258375,-1.130540126420076,1.1567875306587623,-3.4178677914445474,3.444115195683234,1.0491997109968736,4.2146025027619345,False,False,False,263
0.699036182924317,-0.0735436024972036,-1.130540127373552,1.1567875316122382,-3.4178677914445474,3.444115195683234,0.8716982086835543,4.2146025027619345,False,False,False,264
0.5538117228664703,0.051927462575531186,-1.1305401279837768,1.156787532222463,-3.4178677914445474,3.444115195683234,0.14522446005784673,4.2146025027619345,False,False,False,265
0.9579078117211282,0.23312353240465059,-1.1305401283743204,1.1567875326130066,-3.4178677914445474,3.444115195683234,0.40409608885465786,4.2146025027619345,False,False,False,266
1.7508090765128514,0.5366606412262908,-1.1305401286242684,1.1567875328629547,-3.4178677914445474,3.444115195683234,0.7929012647917233,4.2146025027619345,False,False,False,267
