fitted,residual,run_order
106.01160723481803,0.2803438136435972,1
113.4435407259482,-1.3297595480537012,2
113.4435407259482,0.8123780278664583,3
106.07513831855074,1.4797952236292815,4
99.11712658876809,-0.028000112011838496,5
96.5938852412713,-0.6557128940299606,6
93.28537675861097,0.1347736439504672,7
103.98961741677917,1.8868182563181506,8
93.25422288850375,-1.209711781377976,9
99.11712658876809,1.5892645178849278,10
100.28607563117802,0.5365914297310184,11
99.11712658876809,-0.7784371749019243,12
93.25422288850375,0.5009922646214591,13
94.25292057390129,0.9819528054781301,14
103.56781086981758,-0.7648818589730126,15
94.65930402981142,0.9036348504341305,16
99.11712658876809,0.7211115243981254,17
96.5938852412713,-0.5835711273504387,18
103.56781086981758,-0.13016389161954578,19
101.85751955384889,-1.6696397437587223,20
99.11712658876809,-0.12956810004398278,21
84.10951947594745,-0.07930428279654222,22
99.11712658876809,0.9365623682424058,23
94.65930402981142,-0.35487559864067464,24
106.07513831855074,-1.415805291272278,25
91.07401703289221,-0.6621476162398636,26
99.11712658876809,0.05995197939766683,27
106.01160723481803,0.4913832195614418,28
99.11712658876809,-0.7488792436009675,29
91.07401703289221,0.05160297913458578,30
100.28607563117802,0.8638749877489431,31
93.28537675861097,-0.8945398238559932,32
94.25292057390129,-0.7316366392849147,33
99.11712658876809,-1.198585973557897,34
103.98961741677917,-0.965869680313034,35
99.11712658876809,0.3691837920532066,36
84.10951947594745,0.7578681990834184,37
101.85751955384889,0.4761509075658097,38
99.11712658876809,0.7768628815334608,39
99.11712658876809,-0.28000729059412777,40
