seed,temperature_c,pressure_torr,flow_sccm,deposition_s,state,fault,cycle_s,truth_thickness_nm,measured_thickness_nm,temperature_mean,temperature_std,pressure_mean,pressure_std,flow_mean,flow_std,heater_mean,deposition_time,thermal_dose,flow_dose
41100,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.25,100.67971846742883,100.70011920965575,448.6589066620493,0.2992363141662609,2.9199816581537186,0.0032200669651504398,107.49754033422957,0.1492986501493298,0.44516884037499993,120.0,119.32366094569691,12899.704840107548
41101,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,100.1147536493506,100.14570995910535,448.6518446300705,0.2841487257079415,2.9200094777588834,0.003189732946844085,107.4928119915364,0.15110734245619814,0.4451710273333333,120.0,119.32009951351503,12899.137438984368
41102,448.5,2.92,107.5,120.0,COMPLETE,NONE,420.5,101.28049853703855,101.16440375716334,448.66294483615576,0.2938325598435118,2.9200092680543746,0.002957258763007881,107.4976682888023,0.14780689128771884,0.4451994576458334,120.0,119.32569442712662,12899.720194656276
41103,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.75,100.35455197928637,100.80982603001763,448.6532963475284,0.289506504441589,2.9199790598975954,0.002986163552270897,107.5087838244887,0.1505050662404697,0.44520036539583335,120.0,119.32083208342868,12901.054058938644
41104,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.75,99.24472147271011,99.26391361340131,448.6463881465523,0.28275966619870957,2.9199999807260455,0.0031004662810453784,107.5042629561421,0.15419721511491333,0.4452431533333333,120.0,119.31734999662334,12900.511554737051
41105,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,99.03100744265183,99.18920769248103,448.65419991904827,0.28736368750866065,2.9200153395400728,0.0028677761399030417,107.49679444760969,0.143110202399561,0.4451969688958333,120.0,119.32128689726412,12899.615333713162
41106,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.75,100.69555680271503,101.2565079468225,448.64658788276574,0.2830466595879974,2.919998439125018,0.0029894649319536703,107.49877595614632,0.1454019716835925,0.44522426464583337,120.0,119.31745069110741,12899.853114737558
41107,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,100.2276902885381,99.94729484229636,448.6525026130273,0.28702120875458464,2.919987145209449,0.0031029717101565325,107.50454115257183,0.15427834356900438,0.4452067598333334,120.0,119.32043163781037,12900.54493830862
41108,448.5,2.92,107.5,120.0,COMPLETE,NONE,423.0,99.68798686930423,100.0557876355896,448.64029998836946,0.2712240985911707,2.919984624064097,0.002937437658996177,107.51521851761305,0.14920222965106636,0.4452788293541667,120.0,119.31428018834991,12901.826222113566
41109,448.5,2.92,107.5,120.0,COMPLETE,NONE,422.5,99.90857435121161,99.76528854889483,448.6415155935813,0.27208571888667193,2.919995384822558,0.003052839922280025,107.49752327349816,0.1490206206366196,0.44531898772916667,120.0,119.3148928322789,12899.702792819779
41110,448.5,2.92,107.5,120.0,COMPLETE,NONE,420.75,99.86207238421437,100.24465908701187,448.6621268108823,0.29091700097496054,2.9200096938825566,0.003102505469240093,107.4989963023328,0.15236259873392208,0.4451343917916667,120.0,119.32528163814267,12899.879556279935
41111,448.5,2.92,107.5,120.0,COMPLETE,NONE,421.5,101.07266842238054,101.48078925583428,448.6502535215458,0.28204531754088713,2.920013710583343,0.003091297872657937,107.50542019532595,0.14707329172923653,0.44523221937499996,120.0,119.3192974030181,12900.650423439114
