run_order,T,P,F,seed,temperature_c,pressure_torr,flow_sccm,deposition_s,state,fault,cycle_s,truth_thickness_nm,measured_thickness_nm,temperature_mean,temperature_std,pressure_mean,pressure_std,flow_mean,flow_std,heater_mean,deposition_time,thermal_dose,flow_dose
1,1.0,-1.0,1.0,41000,465.0,2.6,115.0,120.0,COMPLETE,NONE,427.0,106.20218181620426,106.29195104846163,465.15048596079976,0.2796137640132722,2.600036377387093,0.003118419627011381,115.00932944728379,0.14357769278445723,0.4625983042708333,120.0,127.73031688593244,13801.119533674055
2,1.0,1.0,1.0,41001,465.0,3.4,115.0,120.0,COMPLETE,NONE,427.25,112.22897717976309,112.1137811778945,465.1523250953413,0.28188528093324505,3.400002365584563,0.0031833618100762366,115.00091120834387,0.14842739502402152,0.4625626521875,120.0,127.73126544329149,13800.109345001263
3,1.0,1.0,1.0,41002,465.0,3.4,115.0,120.0,COMPLETE,NONE,426.0,114.35839176460205,114.25591875381465,465.1626026431772,0.29634127123674653,3.400005190289157,0.0029121914694980747,115.01269118090441,0.14788723072861548,0.4625258254375,120.0,127.73656668883802,13801.52294170853
4,1.0,0.0,0.0,41003,465.0,3.0,100.0,120.0,COMPLETE,NONE,428.25,107.56792707918396,107.55493354218002,465.1401016951821,0.26757596380404225,3.0000073185647524,0.0032373774979763507,99.9908611344574,0.151716801726385,0.46263067339583336,120.0,127.72496131734962,11998.903336134888
5,0.0,0.0,0.0,41004,450.0,3.0,100.0,120.0,COMPLETE,NONE,422.25,99.51373106391262,99.08912647675625,450.15041902324896,0.2816797727258312,2.9999553502942873,0.003025398879331298,99.99828944444616,0.146814087881052,0.44683767583333334,120.0,120.07597344938993,11999.79473333354
6,1.0,-1.0,-1.0,41005,465.0,2.6,85.0,120.0,COMPLETE,NONE,427.25,96.3810030461878,95.93817234724133,465.1520025776684,0.28546787280272257,2.60002645857744,0.003000486438021264,84.99795492873628,0.14079012846110014,0.46259765439583334,120.0,127.73109987237187,10199.754591448353
7,-1.0,-1.0,1.0,41006,435.0,2.6,115.0,120.0,COMPLETE,NONE,416.5,93.46716341717436,93.42015040256143,435.15777670867,0.2992444660557834,2.6000110995000996,0.003077464882274785,114.99255315028317,0.14289465187186534,0.43098507016666665,120.0,112.58892599206587,13799.106378033981
8,1.0,1.0,-1.0,41007,465.0,3.4,85.0,120.0,COMPLETE,NONE,425.0,105.42824297255193,105.87643567309732,465.16630660121183,0.3089118913335323,3.4000082832742455,0.0031255086107894077,84.99609669278462,0.15258198427308586,0.46249714399999997,120.0,127.7384788090456,10199.531603134154
9,-1.0,0.0,0.0,41008,435.0,3.0,100.0,120.0,COMPLETE,NONE,415.0,92.27832172946279,92.04451110712577,435.1699361300749,0.3089740381087075,2.9999911049717625,0.0029458127857739805,100.00258078042182,0.14712280688282378,0.43089553779166667,120.0,112.59493158450081,12000.309693650619
10,0.0,0.0,0.0,41009,450.0,3.0,100.0,120.0,COMPLETE,NONE,422.25,100.68417657222525,100.70639110665302,450.1494637222388,0.2831949433618444,2.9999912260915385,0.003077058332891449,99.99938233643698,0.14968165602037592,0.4467962112708334,120.0,120.07549138876257,11999.925880372437
11,-1.0,1.0,1.0,41010,435.0,3.4,115.0,120.0,COMPLETE,NONE,420.0,100.66357396033051,100.82266706090904,435.1349756814599,0.2684990570727644,3.3999981307987923,0.003088594098868018,114.99550132225419,0.15898571817820728,0.431077658125,120.0,112.57766231829088,13799.460158670503
12,0.0,0.0,0.0,41011,450.0,3.0,100.0,120.0,COMPLETE,NONE,422.5,98.25525479788426,98.33868941386616,450.14958609675557,0.2903331982867725,2.9999980502983186,0.0031638736075507786,100.0040790852966,0.15430975802432922,0.44680865714583334,120.0,120.07555466798378,12000.489490235592
13,-1.0,0.0,0.0,41012,435.0,3.0,100.0,120.0,COMPLETE,NONE,418.25,93.9601417985042,93.7552151531252,435.1494762869068,0.2880343578960043,3.0000291451155987,0.0031177383100681917,99.99122018240004,0.14493895931336537,0.43101118804166666,120.0,112.58482546332442,11998.946421888006
14,0.0,0.0,-1.0,41013,450.0,3.0,85.0,120.0,COMPLETE,NONE,421.25,95.34865767573888,95.23487337937942,450.1705293541633,0.3144764669758084,3.000022203193516,0.0031476464908141277,85.00605199811675,0.1475814703485702,0.4466906781458333,120.0,120.08613523847097,10200.726239774009
15,0.0,0.0,1.0,41014,450.0,3.0,115.0,120.0,COMPLETE,NONE,421.25,103.16897442995426,102.80292901084457,450.16232882590305,0.2939616245700603,2.999987637134286,0.0030201602805579025,114.9936793425971,0.1475877144548649,0.446776469125,120.0,120.0819898213019,13799.241521111653
16,0.0,-1.0,0.0,41015,450.0,2.6,100.0,120.0,COMPLETE,NONE,420.5,95.61384322393512,95.56293888024555,450.1635823793291,0.3039828211262555,2.5999532821750337,0.0030392868341418485,100.00662514074364,0.14818669632172646,0.44672209791666667,120.0,120.08262498194844,12000.795016889237
17,0.0,0.0,0.0,41016,450.0,3.0,100.0,120.0,COMPLETE,NONE,421.25,99.34101886493296,99.83823811316621,450.15719110744914,0.2934490988659107,2.999955410428088,0.0030062725671666235,99.9946487244426,0.14742112456205567,0.4468077306666667,120.0,120.07939543160782,11999.357846933111
18,1.0,-1.0,-1.0,41017,465.0,2.6,85.0,120.0,COMPLETE,NONE,427.0,95.82067420071006,96.01031411392086,465.15282305201606,0.2847139843435611,2.600000606791896,0.0031276002721518704,84.98926994362918,0.15614530836227475,0.46255135666666664,120.0,127.73152270434035,10198.712393235503
19,0.0,0.0,1.0,41018,450.0,3.0,115.0,120.0,COMPLETE,NONE,421.5,103.21531358558964,103.43764697819803,450.15890286097607,0.2955334790713655,2.999993244487301,0.002918041796322031,114.99696084120869,0.1520837070830922,0.44676289737499997,120.0,120.08026022022821,13799.635300945043
20,0.0,1.0,0.0,41019,450.0,3.4,100.0,120.0,COMPLETE,NONE,422.75,100.94514967740213,100.18787981009017,450.1440265783306,0.2757320379785857,3.4000042218373516,0.003166073932831549,100.00542572441704,0.14605881512035762,0.44685333364583335,120.0,120.07274444825542,12000.651086930044
21,0.0,0.0,0.0,41020,450.0,3.0,100.0,120.0,COMPLETE,NONE,421.5,98.50941773382968,98.9875584887241,450.15486237981906,0.28255445490497744,3.000013378517977,0.0030977090730370115,100.00251160096417,0.1531300161284676,0.4467624186458333,120.0,120.07821726906572,12000.3013921157
22,-1.0,-1.0,-1.0,41021,435.0,2.6,85.0,120.0,COMPLETE,NONE,416.75,83.84742774771763,84.03021519315091,435.1582671575147,0.29378820995912847,2.6000144203704574,0.003067805469945222,84.9965553701479,0.14973393743562768,0.4309856909375,120.0,112.5891668868577,10199.586644417748
23,0.0,0.0,0.0,41022,450.0,3.0,100.0,120.0,COMPLETE,NONE,420.5,100.08619065481444,100.0536889570105,450.1662022757906,0.29975935493653144,2.9999946243464928,0.0031951737846605335,99.99815343076915,0.14636650662987738,0.44672487475,120.0,120.0839469784872,11999.778411692298
24,0.0,-1.0,0.0,41023,450.0,2.6,100.0,120.0,COMPLETE,NONE,422.0,94.25262164001113,94.30442843117075,450.1522247717965,0.29216329196134566,2.6000162899858137,0.003094527605228147,100.00780396413505,0.14811757674384027,0.4468278325,120.0,120.07688743440585,12000.936475696206
25,1.0,0.0,0.0,41024,465.0,3.0,100.0,120.0,COMPLETE,NONE,425.75,104.70026374267866,104.65933302727846,465.1576572823438,0.30097672111339074,2.9999961544227975,0.003003319911113196,99.98851562709774,0.14115631788696695,0.46256111204166667,120.0,127.73401814361904,11998.621875251729
26,-1.0,1.0,-1.0,41025,435.0,3.4,85.0,120.0,COMPLETE,NONE,416.0,90.29064634384815,90.41186941665235,435.1612861908455,0.3007785157629664,3.4000425290520315,0.0030579820344771203,85.00622286342295,0.1479145000474536,0.43099826464583335,120.0,112.59065902639264,10200.746743610754
27,0.0,0.0,0.0,41026,450.0,3.0,100.0,120.0,COMPLETE,NONE,421.75,99.43647922793728,99.17707856816575,450.15284799991724,0.28107923799406986,2.9999739312608464,0.0031482961431857056,100.00744320423058,0.1422904154065773,0.4467614665833333,120.0,120.07719981996894,12000.89318450767
28,1.0,-1.0,1.0,41027,465.0,2.6,115.0,120.0,COMPLETE,NONE,428.0,106.44747974586257,106.50299045437947,465.1431003761208,0.27548731921769987,2.6000288505468467,0.00325766868981634,115.00105589549966,0.14579480532229502,0.46258829772916665,120.0,127.72650866569329,13800.12670745996
