T,P,F,predicted_nm,target_error_nm
-1.0,-1.0,-1.0,84.10951947594745,15.890480524052549
-1.0,-1.0,-0.9,84.60759690479325,15.392403095206745
-1.0,-1.0,-0.8,85.1015391163009,14.898460883699101
-1.0,-1.0,-0.7,85.59134611047038,14.408653889529617
-1.0,-1.0,-0.6,86.07701788730166,13.922982112698335
-1.0,-1.0,-0.5,86.5585544467948,13.441445553205199
-1.0,-1.0,-0.3999999999999999,87.03595578894976,12.964044211050236
-1.0,-1.0,-0.29999999999999993,87.50922191376654,12.490778086233462
-1.0,-1.0,-0.19999999999999996,87.97835282124515,12.021647178754847
-1.0,-1.0,-0.09999999999999998,88.4433485113856,11.556651488614406
-1.0,-1.0,0.0,88.90420898418786,11.09579101581214
-1.0,-1.0,0.10000000000000009,89.36093423965194,10.63906576034806
-1.0,-1.0,0.20000000000000018,89.81352427777784,10.186475722222156
-1.0,-1.0,0.30000000000000004,90.2619790985656,9.738020901434396
-1.0,-1.0,0.40000000000000013,90.70629870201518,9.293701297984825
-1.0,-1.0,0.5,91.14648308812657,8.853516911873427
-1.0,-1.0,0.6000000000000001,91.5825322568998,8.417467743100204
-1.0,-1.0,0.7000000000000002,92.01444620833485,7.985553791665154
-1.0,-1.0,0.8,92.44222494243174,7.557775057568264
-1.0,-1.0,0.9000000000000001,92.86586845919044,7.1341315408095625
-1.0,-1.0,1.0,93.28537675861097,6.7146232413890345
-1.0,-0.9,-1.0,84.62090016521287,15.379099834787127
-1.0,-0.9,-0.9,85.11906809734775,14.88093190265225
-1.0,-0.9,-0.8,85.61310081214447,14.386899187855533
-1.0,-0.9,-0.7,86.102998309603,13.897001690397005
-1.0,-0.9,-0.6,86.58876058972334,13.411239410276664
-1.0,-0.9,-0.5,87.07038765250552,12.929612347494484
-1.0,-0.9,-0.3999999999999999,87.54787949794954,12.452120502050462
-1.0,-0.9,-0.29999999999999993,88.02123612605538,11.978763873944615
-1.0,-0.9,-0.19999999999999996,88.49045753682304,11.509542463176956
-1.0,-0.9,-0.09999999999999998,88.95554373025254,11.044456269747457
-1.0,-0.9,0.0,89.41649470634385,10.583505293656145
-1.0,-0.9,0.10000000000000009,89.87331046509699,10.126689534903008
-1.0,-0.9,0.20000000000000018,90.32599100651197,9.67400899348803
-1.0,-0.9,0.30000000000000004,90.77453633058877,9.225463669411226
-1.0,-0.9,0.40000000000000013,91.2189464373274,8.781053562672597
-1.0,-0.9,0.5,91.65922132672785,8.340778673272155
-1.0,-0.9,0.6000000000000001,92.09536099879013,7.904639001209873
-1.0,-0.9,0.7000000000000002,92.52736545351425,7.47263454648575
-1.0,-0.9,0.8,92.95523469090018,7.044765309099816
-1.0,-0.9,0.9000000000000001,93.37896871094794,6.6210312890520555
-1.0,-0.9,1.0,93.79856751365753,6.201432486342469
-1.0,-0.8,-1.0,85.11510655853957,14.884893441460434
-1.0,-0.8,-0.9,85.6133649939635,14.3866350060365
-1.0,-0.8,-0.8,86.10748821204926,13.892511787950738
-1.0,-0.8,-0.7,86.59747621279685,13.402523787203151
-1.0,-0.8,-0.6,87.08332899620625,12.916671003793752
-1.0,-0.8,-0.5,87.56504656227749,12.434953437722513
-1.0,-0.8,-0.3999999999999999,88.04262891101057,11.957371088989433
-1.0,-0.8,-0.29999999999999993,88.51607604240546,11.483923957594541
-1.0,-0.8,-0.19999999999999996,88.98538795646218,11.014612043537824
-1.0,-0.8,-0.09999999999999998,89.45056465318073,10.549435346819266
-1.0,-0.8,0.0,89.9116061325611,10.088393867438896
-1.0,-0.8,0.10000000000000009,90.3685123946033,9.6314876053967
-1.0,-0.8,0.20000000000000018,90.82128343930732,9.178716560692678
