time_s,temperature_c,pressure_torr,flow_sccm,truth_temperature_c,truth_thickness_nm,state,fault,heater,throttle,flow_command,precursor
115.75,264.22601007886226,2.9927792409104783,100.42433479505743,264.3332950553786,0.0,HEAT,NONE,1.0,0.37749487,100.0,False
116.0,264.2855844461282,3.006405989999273,99.86325657887582,264.1793691428341,0.0,HEAT,NONE,1.0,0.38077195,100.0,False
116.25,264.246048921469,3.005193181938515,100.23318242867516,264.02592349795725,0.0,HEAT,NONE,1.0,0.38055135,100.0,False
116.5,263.86977567227234,2.9963897654599316,99.97340307897043,263.87295662225415,0.0,HEAT,NONE,1.0,0.37844415,100.0,False
116.75,263.3900516548415,2.995194834901956,100.01379081717252,263.7204670219065,0.0,HEAT,NONE,1.0,0.37810736,100.0,False
117.0,263.41974343789155,3.0002085808388483,99.98365003728978,263.56845320775676,0.0,HEAT,NONE,1.0,0.37928663,100.0,False
117.25,263.70652275257163,3.004578713320319,99.99326911237556,263.4169136952939,0.0,HEAT,NONE,1.0,0.38036743,100.0,False
117.5,263.447181934764,2.9979683306980807,99.94946544638576,263.2658470046386,0.0,HEAT,NONE,1.0,0.37879133,100.0,False
117.75,263.25178530704665,2.9967533933646537,99.95815289075495,263.11525166052905,0.0,HEAT,NONE,1.0,0.37846712,100.0,False
118.0,262.7669993132932,3.001101716399303,100.2448773633384,262.9651261923064,0.0,HEAT,NONE,1.0,0.37950063,100.0,False
118.25,262.70265460053525,3.001336474021063,99.86540171475451,262.8154691339004,0.0,HEAT,NONE,1.0,0.37957093,100.0,False
118.5,262.49384668232915,2.9968419289577923,100.21821281221142,262.6662790238152,0.0,HEAT,NONE,1.0,0.37847717,100.0,False
118.75,262.8719197257075,3.0022624502378727,99.89255605462938,262.5175544051149,0.0,HEAT,NONE,1.0,0.3797763,100.0,False
119.0,262.47502757056094,2.9996239187270937,100.12020975213059,262.36929382540944,0.0,HEAT,NONE,1.0,0.37915185,100.0,False
119.25,262.2651448825704,3.001499115286518,100.09109140890628,262.22149583684046,0.0,HEAT,NONE,1.0,0.37961022,100.0,False
119.5,261.9872349505205,2.9993242798971647,99.74181316149189,262.07415899606707,0.0,HEAT,NONE,1.0,0.37909169,100.0,False
119.75,261.8610014480337,2.9963283828058063,99.978297820144,261.9272818642517,0.0,HEAT,NONE,1.0,0.37834373,100.0,False
120.0,261.63721836463833,3.0012053710248536,100.06798589596235,261.78086300704626,0.0,HEAT,NONE,1.0,0.37950221,100.0,False
120.25,261.42188260891817,2.9983628778617337,99.85850321472468,261.6349009945779,0.0,HEAT,NONE,1.0,0.37881376,100.0,False
120.5,261.60136841519693,3.006059341276336,100.12773049230545,261.48939440143516,0.0,HEAT,NONE,1.0,0.3806933,100.0,False
120.75,261.2919289674992,3.0048341160563266,99.77288383953379,261.3443418066541,0.0,HEAT,NONE,1.0,0.38046568,100.0,False
121.0,261.4246455015235,2.9980719968406526,99.58295601772677,261.1997417937043,0.0,HEAT,NONE,1.0,0.37885818,100.0,False
121.25,261.4532136613378,3.0049370719610864,99.84521744093198,261.0555929504751,0.0,HEAT,NONE,1.0,0.3805333,100.0,False
121.5,260.9372451664008,2.999150689851564,100.01533312049422,260.91189386926186,0.0,HEAT,NONE,1.0,0.37916845,100.0,False
121.75,260.5461501811209,2.9978207035401696,100.07019419241213,260.7686431467521,0.0,HEAT,NONE,1.0,0.37883328,100.0,False
122.0,260.6592438095051,3.0036427801726657,100.01196253861406,260.6258393840117,0.0,HEAT,NONE,1.0,0.38024668,100.0,False
122.25,260.83586443935644,2.997593591508223,100.03889985879302,260.48348118647175,0.0,HEAT,NONE,1.0,0.37879969,100.0,False
122.5,260.05411947952416,2.9961790372214914,100.1992788941397,260.3415671639142,0.0,HEAT,NONE,1.0,0.37842259,100.0,False
122.75,260.05867551533703,3.001844485374746,99.99073437139728,260.2000959304588,0.0,HEAT,NONE,1.0,0.37977472,100.0,False
123.0,259.9023837608963,2.999051123053646,99.92286495480298,260.05906610454946,0.0,HEAT,NONE,1.0,0.37910706,100.0,False
