time_s,temperature_c,pressure_torr,flow_sccm,truth_temperature_c,truth_thickness_nm,state,fault,heater,throttle,flow_command,precursor
10.75,62.69349874551379,1.6923422943858075,98.29904763855258,62.82032330044569,0.0,HEAT,NONE,1.0,0.03475108,100.0,False
11.0,65.43591018272383,1.8280382265252737,98.95744184908499,65.66643542376755,0.0,HEAT,NONE,1.0,0.04712404,100.0,False
11.25,68.49379659337099,1.9537492322370222,99.05505179470758,68.50366732927102,0.0,HEAT,NONE,1.0,0.05904629,100.0,False
11.5,71.18577387590476,2.083796580390938,99.24477151033192,71.33204672432157,0.0,HEAT,NONE,1.0,0.07393352,100.0,False
11.75,74.14392266793048,2.198603005027398,99.41313030188746,74.15160122983423,0.0,HEAT,NONE,1.0,0.08700276,100.0,False
12.0,76.7706996077957,2.319871234710234,99.61623055041751,76.96235838054338,0.0,HEAT,NONE,1.0,0.10342363,100.0,False
12.25,79.90923386808095,2.4246963822907874,99.63197767513536,79.76434562527163,0.0,HEAT,NONE,1.0,0.11761332,100.0,False
12.5,82.50858753819755,2.525295367092451,99.80814845125495,82.55759032719789,0.0,HEAT,NONE,1.0,0.13238002,100.0,False
12.75,85.28582973817319,2.6217758991736884,99.65197875567671,85.34211976412473,0.0,HEAT,NONE,1.0,0.14768746,100.0,False
13.0,87.9969342396013,2.7163761126699266,99.79598525369747,88.11796112874447,0.0,HEAT,NONE,1.0,0.16402651,100.0,False
13.25,90.72702746076162,2.7937423534981556,100.13549315975465,90.88514152890514,0.0,HEAT,NONE,1.0,0.17757149,100.0,False
13.5,93.42558434250255,2.866793539378741,99.84988367989497,93.64368798787473,0.0,HEAT,NONE,1.0,0.19128772,100.0,False
13.75,96.12947452345628,2.9375896843313316,99.95601889528415,96.39362744460539,0.0,HEAT,NONE,1.0,0.20561393,100.0,False
14.0,99.14570303064038,2.9941607911821433,100.03861315144384,99.13498675399649,0.0,HEAT,NONE,1.0,0.21755106,100.0,False
14.25,101.7868980847338,3.050932414340254,99.81210178603509,101.8677926871569,0.0,HEAT,NONE,1.0,0.23047033,100.0,False
14.5,104.40965651763506,3.1039385578429552,99.90808816180764,104.59207193166628,0.0,HEAT,NONE,1.0,0.24337833,100.0,False
14.75,107.35160314528906,3.1421171531400476,99.92223494138184,107.30785109183569,0.0,HEAT,NONE,1.0,0.25348119,100.0,False
15.0,109.93896254341705,3.181220222463291,99.94623803579526,110.01515668896764,0.0,HEAT,NONE,1.0,0.26447081,100.0,False
15.25,112.69129861438914,3.2111264300544162,100.1702708133852,112.71401516161484,0.0,HEAT,NONE,1.0,0.27384158,100.0,False
15.5,115.50652951203347,3.23927731567009,99.91092429802076,115.4044528658385,0.0,HEAT,NONE,1.0,0.28330255,100.0,False
15.75,117.87920076746471,3.263486359909837,100.1416455403164,118.08649607546567,0.0,HEAT,NONE,1.0,0.29227639,100.0,False
16.0,120.73906472247754,3.2805311017079353,100.11478637495688,120.76017098234604,0.0,HEAT,NONE,1.0,0.29990474,100.0,False
16.25,123.55018136450691,3.296337708102873,99.92987946560626,123.42550369660717,0.0,HEAT,NONE,1.0,0.30754888,100.0,False
16.5,126.30976619430983,3.3010276321485423,100.12795773178364,126.08252024691012,0.0,HEAT,NONE,1.0,0.31273992,100.0,False
16.75,128.80533639255793,3.31615480658988,100.2808996118391,128.73124658070333,0.0,HEAT,NONE,1.0,0.32065049,100.0,False
17.0,131.59437538548266,3.315522924130613,99.74600303248748,131.37170856447585,0.0,HEAT,NONE,1.0,0.32492743,100.0,False
17.25,134.12646534286833,3.3194941788224446,99.99762981860796,134.00393198401025,0.0,HEAT,NONE,1.0,0.3303952,100.0,False
17.5,136.75390166618516,3.3189822292127826,99.68313026653638,136.62794254463438,0.0,HEAT,NONE,1.0,0.33485489,100.0,False
17.75,139.28266072452266,3.3236925675174067,99.96285689152228,139.24376587147208,0.0,HEAT,NONE,1.0,0.34063946,100.0,False
18.0,141.85720772425938,3.318483210609864,99.77277636553914,141.85142750969385,0.0,HEAT,NONE,1.0,0.34406566,100.0,False
18.25,144.42595469713413,3.31449858796608,99.75333186380325,144.45095292476617,0.0,HEAT,NONE,1.0,0.3477575,100.0,False
18.5,147.118219663409,3.312382007637954,100.06087251009392,147.04236750270002,0.0,HEAT,NONE,1.0,0.35188056,100.0,False
18.75,149.47730230908516,3.3044503390299997,99.8500654310229,149.62569655029904,0.0,HEAT,NONE,1.0,0.35455494,100.0,False
19.0,152.06796901534767,3.3001807122559006,99.88249665747239,152.20096529540638,0.0,HEAT,NONE,1.0,0.35804458,100.0,False
19.25,154.8216088304745,3.292832329944056,100.30373233614222,154.76819888715147,0.0,HEAT,NONE,1.0,0.36072419,100.0,False
19.5,157.11850403931516,3.2860959678071873,99.98654621548468,157.32742239619517,0.0,HEAT,NONE,1.0,0.3634642,100.0,False
19.75,159.87655635545522,3.2701154018410503,99.93094854779943,159.87866081497486,0.0,HEAT,NONE,1.0,0.36383356,100.0,False
20.0,162.53341864746523,3.265567600671378,100.01214178179038,162.42193905794863,0.0,HEAT,NONE,1.0,0.36682071,100.0,False
20.25,164.91367445974817,3.25997407841778,99.99676713563647,164.95728196183825,0.0,HEAT,NONE,1.0,0.36948025,100.0,False
20.5,167.15465193499955,3.244633629381049,99.70467174468975,167.48471428587186,0.0,HEAT,NONE,1.0,0.3696505,100.0,False
20.75,169.51654494970134,3.2357583097792446,100.20002756545443,170.00426071202583,0.0,HEAT,NONE,1.0,0.37121215,100.0,False
21.0,172.5230138311854,3.2243831488392876,99.85889032860561,172.51594584526583,0.0,HEAT,NONE,1.0,0.3720278,100.0,False
21.25,175.1893861983244,3.219116205709566,100.00719645410538,175.0197942137869,0.0,HEAT,NONE,1.0,0.37419103,100.0,False
21.5,177.5078110009274,3.2091982714079292,100.12080833604242,177.51583026925312,0.0,HEAT,NONE,1.0,0.37511941,100.0,False
21.75,180.08696348163994,3.2003305306590293,99.84356790927527,180.00407838703654,0.0,HEAT,NONE,1.0,0.37616414,100.0,False
22.0,182.56122918119135,3.1883436343632097,100.16407550734408,182.4845628664549,0.0,HEAT,NONE,1.0,0.37630712,100.0,False
22.25,184.76665030775052,3.1811271349029986,99.99889527373492,184.95730793100915,0.0,HEAT,NONE,1.0,0.3774575,100.0,False
22.5,187.2236408960233,3.177899708553078,100.21906029567563,187.42233772861994,0.0,HEAT,NONE,1.0,0.37948091,100.0,False
22.75,189.81013876762213,3.165982876389433,100.05680088411651,189.8796763318635,0.0,HEAT,NONE,1.0,0.37929651,100.0,False
23.0,191.9373138187048,3.15589155258512,99.99079800295081,192.3293477382066,0.0,HEAT,NONE,1.0,0.37939486,100.0,False
23.25,194.78385847326234,3.143792866616392,99.95959766134064,194.77137587024117,0.0,HEAT,NONE,1.0,0.37884988,100.0,False
23.5,197.17904576141015,3.143086554810684,100.0501638529433,197.2057845759175,0.0,HEAT,NONE,1.0,0.38094549,100.0,False
