time_s,temperature_c,pressure_torr,flow_sccm,truth_temperature_c,truth_thickness_nm,state,fault,heater,throttle,flow_command,precursor
50.0,416.6109113009059,2.9993977701375703,100.04626144396254,416.5238105337713,0.0,HEAT,NONE,0.98380539,0.37929662,100.0,False
50.25,417.9636691699512,2.998507854356602,99.91002143294025,418.2183218245274,0.0,HEAT,NONE,0.96928984,0.37906976,100.0,False
50.5,419.73488843938566,2.9929522649571725,99.94976897767943,419.86452025659617,0.0,HEAT,NONE,0.94285469,0.37767878,100.0,False
50.75,421.56182113629217,3.0014357190206375,99.90985800855012,421.4272254930672,0.0,HEAT,NONE,0.91472684,0.37968493,100.0,False
51.0,422.89944928775424,3.0024345960212706,99.58593732060186,422.9016806835018,0.0,HEAT,NONE,0.89923953,0.37994592,100.0,False
51.25,424.30694872565124,3.001584311860143,100.10231929378511,424.32562920767225,0.0,HEAT,NONE,0.88102007,0.379764,100.0,False
51.5,425.9462397736478,3.003222420294861,100.04688442521193,425.6911302425963,0.0,HEAT,NONE,0.85605081,0.3801878,100.0,False
51.75,427.02365536127223,3.0019055316141157,99.91910095078863,426.9783589603549,0.0,HEAT,NONE,0.84552939,0.3799035,100.0,False
52.0,428.22435644787424,3.0021005606613693,100.29361678223425,428.23038465611575,0.0,HEAT,NONE,0.83070704,0.37997736,100.0,False
52.25,429.4106786156517,2.999057498570468,100.02977202906814,429.4345687115115,0.0,HEAT,NONE,0.81553422,0.37925422,100.0,False
52.5,430.79150211862157,2.9991848252723394,100.22040385547066,430.5900215645204,0.0,HEAT,NONE,0.79461561,0.37927677,100.0,False
52.75,431.5348654908682,2.9987793335749267,99.97027522649715,431.6798640734825,0.0,HEAT,NONE,0.79010339,0.37916801,100.0,False
53.0,432.87090725497353,3.0025682075712683,99.77358334628225,432.7529313963591,0.0,HEAT,NONE,0.76887925,0.38008956,100.0,False
53.25,433.6224721578353,3.0002235168009372,99.90119595311711,433.759739801707,0.0,HEAT,NONE,0.76282144,0.3795432,100.0,False
53.5,434.517086622888,3.0023038815549237,100.07409551262303,434.7454507892351,0.0,HEAT,NONE,0.75202643,0.38006122,100.0,False
53.75,435.77006519894013,2.99756491267822,100.15434076782509,435.696088574411,0.0,HEAT,NONE,0.7312211,0.37892097,100.0,False
54.0,436.54609683920864,3.0024765680658403,99.86325022735859,436.5820908386727,0.0,HEAT,NONE,0.7228807,0.38010566,100.0,False
54.25,437.31248643599594,2.999589198945484,99.89465017813043,437.44060675314853,0.0,HEAT,NONE,0.71405026,0.37942405,100.0,False
54.5,438.37158720293473,2.999783383504433,99.86155431732053,438.2702695431294,0.0,HEAT,NONE,0.69691207,0.3794684,100.0,False
54.75,439.05747393803586,2.9979608478831996,100.13737492437654,439.04654409789407,0.0,HEAT,NONE,0.68942029,0.37901671,100.0,False
55.0,439.7033071275187,2.9978598003556995,100.18168553580644,439.79819007499543,0.0,HEAT,NONE,0.6823076,0.37896684,100.0,False
55.25,440.8621969937873,3.005345246600994,100.00948345174908,440.5264079854009,0.0,HEAT,NONE,0.66113306,0.3807883,100.0,False
55.5,441.22241817683084,3.0034988960061053,99.98133477906329,441.1895899707706,0.0,HEAT,NONE,0.66108029,0.38039837,100.0,False
55.75,441.70409396027867,2.998953913928104,100.0677275170798,441.8505463308493,0.0,HEAT,NONE,0.65683821,0.37932135,100.0,False
56.0,442.3724939657324,2.9937464092778274,99.78449057281686,442.49686640840514,0.0,HEAT,NONE,0.64705385,0.37802468,100.0,False
56.25,443.2119823013644,2.996922932915105,99.97879793614432,443.11216790873857,0.0,HEAT,NONE,0.63250903,0.37873241,100.0,False
56.5,443.71432085985634,3.001304035920812,99.94976458019296,443.6824370572057,0.0,HEAT,NONE,0.62678795,0.37977419,100.0,False
56.75,444.3087763056154,2.9966621342146604,99.94574289614829,444.23396895054333,0.0,HEAT,NONE,0.61814019,0.37864132,100.0,False
57.0,444.6044846936381,3.002999760871103,99.99593751578993,444.7581470318063,0.0,HEAT,NONE,0.61701784,0.3801632,100.0,False
57.25,445.166466714452,2.99829414932367,99.96674072789149,445.2773628375965,0.0,HEAT,NONE,0.60823573,0.37903577,100.0,False
57.5,445.8740054011496,2.994703031746063,99.84441912375617,445.7689274324508,0.0,HEAT,NONE,0.59545429,0.37812646,100.0,False
57.75,446.1643565251273,3.00752372249877,100.14335183387979,446.2210726128609,0.0,HEAT,NONE,0.59363581,0.38122502,100.0,False
58.0,446.6496991072068,3.0014361343236935,100.30861542544454,446.66641685907643,0.0,HEAT,NONE,0.58612237,0.37981236,100.0,False
58.25,447.05303927888195,2.9980814339009165,100.18179153148327,447.0881008678983,0.0,HEAT,NONE,0.58054979,0.37900239,100.0,False
58.5,447.56607772136306,3.0013534603475134,99.9237666401079,447.4919513966431,0.0,HEAT,NONE,0.57180279,0.37978759,100.0,False
58.75,448.15724520819174,3.004355034727072,100.0848921683309,447.86861473834034,0.0,STABILIZE,NONE,0.56090605,0.38054616,100.0,False
59.0,448.31444711699396,2.9927824713030233,100.09565646902456,448.2118036412719,0.0,STABILIZE,NONE,0.56138582,0.37774318,100.0,False
59.25,448.5262275587892,3.000764143087847,100.1023689117769,448.555343846873,0.0,STABILIZE,NONE,0.55980971,0.37962641,100.0,False
59.5,448.84194662669665,2.994325486569262,100.05518118476112,448.8931403919129,0.0,STABILIZE,NONE,0.55507984,0.37804424,100.0,False
59.75,449.1046555384797,2.998875675552204,99.90932352338585,449.21586308634573,0.0,STABILIZE,NONE,0.55153139,0.37909611,100.0,False
60.0,449.4758246902496,2.9930292301870054,100.18254206908472,449.5270608285379,0.0,STABILIZE,NONE,0.5448885,0.37763444,100.0,False
60.25,449.8555992134998,3.003869791288745,100.29697627447148,449.8175972981508,0.0,STABILIZE,NONE,0.53795926,0.38022115,100.0,False
