time_s,temperature_c,pressure_torr,flow_sccm,truth_temperature_c,truth_thickness_nm,state,fault,heater,throttle,flow_command,precursor
124.5,450.24586174413275,2.998879426476182,100.11155960598425,450.3051620198436,17.15654885916058,DEPOSITION,NONE,0.44724293,0.3790541,100.0,True
124.75,450.24398805472293,2.999658782087928,99.81725889616662,450.303837906973,17.364311508206395,DEPOSITION,NONE,0.44718793,0.3792319,100.0,True
125.0,450.5490412434874,3.00179792275822,100.26833097538358,450.30235489910785,17.572073589539023,DEPOSITION,NONE,0.43909979,0.37975481,100.0,True
125.25,450.39643520076555,3.0045946901772767,99.96272687118324,450.2769023319602,17.779811073666014,DEPOSITION,NONE,0.44343879,0.38046727,100.0,True
125.5,450.3719646011298,3.0078597070684716,99.81646983075912,450.26439047993625,17.98753122681057,DEPOSITION,NONE,0.44411687,0.38133163,100.0,True
125.75,450.4303679175634,3.0041841750620346,100.0631691366564,450.25392757430376,18.19523113227236,DEPOSITION,NONE,0.44256617,0.38052491,100.0,True
126.0,450.35368272465007,3.0025814869582077,99.89945572510517,450.2389008592925,18.4029120644875,DEPOSITION,NONE,0.44462577,0.38018723,100.0,True
126.25,450.29263768232653,2.9958623836233707,99.89631294380177,450.23002592310496,18.610581653499253,DEPOSITION,NONE,0.44614094,0.37856661,100.0,True
126.5,450.1309354058383,2.9984268408115624,100.0224663457725,450.22566981768,18.81825344692229,DEPOSITION,NONE,0.45021057,0.37915442,100.0,True
126.75,450.30284513492256,2.9946370914747247,100.30401631327607,450.23339015986977,19.025934248259173,DEPOSITION,NONE,0.44533486,0.3782016,100.0,True
127.0,450.4041635863769,3.001658181045438,99.94502044125898,450.2266342428635,19.233616831990297,DEPOSITION,NONE,0.4426184,0.37986996,100.0,True
127.25,450.1981515021602,3.000965530369036,100.06321599795928,450.2118475021704,19.44128407734225,DEPOSITION,NONE,0.44809612,0.37971875,100.0,True
127.5,449.95518413055635,3.0014727894327877,100.44823713826048,450.2133434962679,19.648951201509266,DEPOSITION,NONE,0.45422147,0.37985601,100.0,True
127.75,449.9489975790561,3.002125362154694,100.05677529626138,450.2329910715789,19.85663332438701,DEPOSITION,NONE,0.45384313,0.38003596,100.0,True
128.0,450.2342936173893,3.003105051899493,99.81796055303795,450.25145590034606,20.06432847484485,DEPOSITION,NONE,0.44592918,0.38030578,100.0,True
128.25,450.2714694984513,3.003126482645826,99.9696852182751,450.2464052495346,20.272014708650403,DEPOSITION,NONE,0.44500529,0.3803519,100.0,True
128.5,450.17424238514155,2.9987094602835613,99.93148669779926,450.23863184009554,20.479689612180827,DEPOSITION,NONE,0.44763538,0.37930322,100.0,True
128.75,450.47705388645,2.9956608231233615,100.13453969054957,450.23867857690595,20.687366346229705,DEPOSITION,NONE,0.43962093,0.37853795,100.0,True
129.0,450.021966837228,3.0008716047489585,99.98383007956367,450.2149694071629,20.895028523133323,DEPOSITION,NONE,0.45189656,0.37977286,100.0,True
129.25,449.8294463104419,2.9987099333742377,99.83548243880885,450.22772060614017,21.102700472128483,DEPOSITION,NONE,0.45656628,0.37924971,100.0,True
129.5,450.18575638542586,3.003572358675234,99.82771283694389,450.25427361231493,21.310397355468805,DEPOSITION,NONE,0.44666109,0.3804347,100.0,True
129.75,450.08789107229455,3.002966627010899,100.01787953807022,450.25138363615355,21.518086480654162,DEPOSITION,NONE,0.44927491,0.38032992,100.0,True
130.0,450.49395998080155,2.9992691458904464,99.86394029925903,450.25625034316283,21.72577550116987,DEPOSITION,NONE,0.43853127,0.37945532,100.0,True
130.25,450.2190313627714,3.002117879524903,100.14512578372765,450.2292564685497,21.933441912041065,DEPOSITION,NONE,0.44621569,0.38015238,100.0,True
130.5,450.22526106141106,2.998293254677822,99.98264493398271,450.2251243315997,22.141101568727866,DEPOSITION,NONE,0.44603282,0.379236,100.0,True
130.75,450.13126296381375,3.004234972228963,100.00110897552472,450.2204630395007,22.34875950168826,DEPOSITION,NONE,0.44847982,0.38068454,100.0,True
131.0,450.04863311561866,2.996447290951734,100.11202297911463,450.2230694834375,22.55641350855046,DEPOSITION,NONE,0.45049152,0.37881535,100.0,True
131.25,450.3305646222039,2.997782974796731,99.89691145650477,450.23163070742214,22.76407998179761,DEPOSITION,NONE,0.4428614,0.37910347,100.0,True
131.5,450.22123597551564,2.993219615722899,99.79923351774377,450.21754865737466,22.971737214837194,DEPOSITION,NONE,0.44592378,0.37794909,100.0,True
131.75,450.3357977342008,2.9974575127981757,100.05782259008389,450.21258779507986,23.179399723077946,DEPOSITION,NONE,0.44291434,0.37890988,100.0,True
132.0,450.3866109615172,3.001142184831311,100.0031784479977,450.1987220815566,23.387053641930148,DEPOSITION,NONE,0.44172824,0.37978408,100.0,True
132.25,450.50958117226145,3.0010964289110507,99.94533094840868,450.18138389258183,23.594690672881445,DEPOSITION,NONE,0.4386803,0.37978292,100.0,True
132.5,450.2679698616477,3.0001991518633875,99.86800210415778,450.1550653526792,23.802303073952544,DEPOSITION,NONE,0.4453063,0.37957237,100.0,True
